資産コード,枝番,資産種類（償却資産税）,資産種類（法人税）,構造,細目
SSKM000100410,001,6,15,structure corporate tax 410,detail corporate tax 410
SSKM000100411,001,99,16,structure corporate tax 411,detail corporate tax 411
SSKM000100412,001,1,17,structure corporate tax 412,detail corporate tax 412
SSKM000100413,001,2,20,structure corporate tax 413,detail corporate tax 413
SSKM000100414,001,3,30,structure corporate tax 414,detail corporate tax 414
SSKM000100415,001,4,40,structure corporate tax 415,detail corporate tax 415
SSKM000100416,001,5,50,structure corporate tax 416,detail corporate tax 416
SSKM000100417,001,6,60,structure corporate tax 417,detail corporate tax 417
SSKM000100418,001,1,99,structure corporate tax 418,detail corporate tax 418
SSKM000100419,001,2,10,structure corporate tax 419,detail corporate tax 419
SSKM000100420,001,99,11,structure corporate tax 420,detail corporate tax 420
SSKM000100421,001,1,10,structure corporate tax 421,detail corporate tax 421
SSKM000100422,001,2,11,structure corporate tax 422,detail corporate tax 422
SSKM000100423,001,3,12,structure corporate tax 423,detail corporate tax 423
SSKM000100424,001,4,13,structure corporate tax 424,detail corporate tax 424
SSKM000100425,001,5,14,structure corporate tax 425,detail corporate tax 425
SSKM000100426,001,6,15,structure corporate tax 426,detail corporate tax 426
SSKM000100427,001,99,16,structure corporate tax 427,detail corporate tax 427
SSKM000100428,001,1,17,structure corporate tax 428,detail corporate tax 428
SSKM000100429,001,2,20,structure corporate tax 429,detail corporate tax 429
SSKM000100430,001,3,30,structure corporate tax 430,detail corporate tax 430
SSKM000100431,001,4,40,structure corporate tax 431,detail corporate tax 431
SSKM000100432,001,5,50,structure corporate tax 432,detail corporate tax 432
SSKM000100433,001,6,60,structure corporate tax 433,detail corporate tax 433
SSKM000100434,001,1,99,structure corporate tax 434,detail corporate tax 434
SSKM000100435,001,2,10,structure corporate tax 435,detail corporate tax 435
SSKM000100436,001,99,11,structure corporate tax 436,detail corporate tax 436
SSKM000100437,001,1,10,structure corporate tax 437,detail corporate tax 437
SSKM000100438,001,2,11,structure corporate tax 438,detail corporate tax 438
SSKM000100439,001,3,12,structure corporate tax 439,detail corporate tax 439
SSKM000100440,001,4,13,structure corporate tax 440,detail corporate tax 440
SSKM000100441,001,5,14,structure corporate tax 441,detail corporate tax 441
SSKM000100442,001,6,15,structure corporate tax 442,detail corporate tax 442
SSKM000100443,001,99,16,structure corporate tax 443,detail corporate tax 443
SSKM000100444,001,1,17,structure corporate tax 444,detail corporate tax 444
SSKM000100445,001,2,20,structure corporate tax 445,detail corporate tax 445
SSKM000100446,001,3,30,structure corporate tax 446,detail corporate tax 446
SSKM000100447,001,4,40,structure corporate tax 447,detail corporate tax 447
SSKM000100448,001,5,50,structure corporate tax 448,detail corporate tax 448
SSKM000100449,001,6,60,structure corporate tax 449,detail corporate tax 449
SSKM000100450,001,1,99,structure corporate tax 450,detail corporate tax 450
SSKM000100451,001,2,10,structure corporate tax 451,detail corporate tax 451
SSKM000100452,001,99,11,structure corporate tax 452,detail corporate tax 452
SSKM000100453,001,1,10,structure corporate tax 453,detail corporate tax 453
SSKM000100454,001,2,11,structure corporate tax 454,detail corporate tax 454
SSKM000100455,001,3,12,structure corporate tax 455,detail corporate tax 455
SSKM000100456,001,4,13,structure corporate tax 456,detail corporate tax 456
SSKM000100457,001,5,14,structure corporate tax 457,detail corporate tax 457
SSKM000100458,001,6,15,structure corporate tax 458,detail corporate tax 458
SSKM000100459,001,99,16,structure corporate tax 459,detail corporate tax 459
SSKM000100460,001,1,17,structure corporate tax 460,detail corporate tax 460
SSKM000100461,001,2,20,structure corporate tax 461,detail corporate tax 461
SSKM000100462,001,3,30,structure corporate tax 462,detail corporate tax 462
SSKM000100463,001,4,40,structure corporate tax 463,detail corporate tax 463
SSKM000100464,001,5,50,structure corporate tax 464,detail corporate tax 464
SSKM000100465,001,6,60,structure corporate tax 465,detail corporate tax 465
SSKM000100466,001,1,99,structure corporate tax 466,detail corporate tax 466
SSKM000100467,001,2,10,structure corporate tax 467,detail corporate tax 467
SSKM000100468,001,99,11,structure corporate tax 468,detail corporate tax 468
SSKM000100469,001,1,10,structure corporate tax 469,detail corporate tax 469
SSKM000100470,001,2,11,structure corporate tax 470,detail corporate tax 470
SSKM000100471,001,3,12,structure corporate tax 471,detail corporate tax 471
SSKM000100472,001,4,13,structure corporate tax 472,detail corporate tax 472
SSKM000100473,001,5,14,structure corporate tax 473,detail corporate tax 473
SSKM000100474,001,6,15,structure corporate tax 474,detail corporate tax 474
SSKM000100475,001,99,16,structure corporate tax 475,detail corporate tax 475
SSKM000100476,001,1,17,structure corporate tax 476,detail corporate tax 476
SSKM000100477,001,2,20,structure corporate tax 477,detail corporate tax 477
SSKM000100478,001,3,30,structure corporate tax 478,detail corporate tax 478
SSKM000100479,001,4,40,structure corporate tax 479,detail corporate tax 479
SSKM000100480,001,5,50,structure corporate tax 480,detail corporate tax 480
SSKM000100481,001,6,60,structure corporate tax 481,detail corporate tax 481
SSKM000100482,001,1,99,structure corporate tax 482,detail corporate tax 482
SSKM000100483,001,2,10,structure corporate tax 483,detail corporate tax 483
SSKM000100484,001,99,11,structure corporate tax 484,detail corporate tax 484
SSKM000100485,001,1,10,structure corporate tax 485,detail corporate tax 485
SSKM000100486,001,2,11,structure corporate tax 486,detail corporate tax 486
SSKM000100487,001,3,12,structure corporate tax 487,detail corporate tax 487
SSKM000100488,001,4,13,structure corporate tax 488,detail corporate tax 488
SSKM000100489,001,5,14,structure corporate tax 489,detail corporate tax 489
SSKM000100490,001,6,15,structure corporate tax 490,detail corporate tax 490
SSKM000100491,001,99,16,structure corporate tax 491,detail corporate tax 491
SSKM000100492,001,1,17,structure corporate tax 492,detail corporate tax 492
SSKM000100493,001,2,20,structure corporate tax 493,detail corporate tax 493
SSKM000100494,001,3,30,structure corporate tax 494,detail corporate tax 494
SSKM000100495,001,4,40,structure corporate tax 495,detail corporate tax 495
SSKM000100496,001,5,50,structure corporate tax 496,detail corporate tax 496
SSKM000100497,001,6,60,structure corporate tax 497,detail corporate tax 497
SSKM000100498,001,1,99,structure corporate tax 498,detail corporate tax 498
SSKM000100499,001,2,10,structure corporate tax 499,detail corporate tax 499
SSKM000100500,001,99,11,structure corporate tax 500,detail corporate tax 500
